start,end,duration_min,peak_mm,mean_mm,duration
2024-09-03 15:59:33,2024-09-03 18:54:33,176,3552.031,3224.6856931818184,2h 56min
2024-09-07 21:13:33,2024-09-07 22:30:33,78,3626.695,3439.9256666666665,1h 18min
2024-09-07 22:34:33,2024-09-07 22:34:33,1,3339.402,3339.402,1min
2024-09-07 22:36:33,2024-09-08 01:29:33,174,3626.695,3369.8055459770117,2h 54min
2024-09-09 06:55:33,2024-09-09 12:46:33,352,3626.695,3376.0440994318183,5h 52min
2024-09-09 12:48:33,2024-09-09 12:48:33,1,3003.647,3003.647,1min
2024-09-11 01:04:33,2024-09-11 03:42:33,159,3327.344,3211.2537547169813,2h 39min
2024-09-11 03:44:33,2024-09-11 03:44:33,1,3001.328,3001.328,1min
2024-09-26 17:04:33,2024-09-26 20:03:33,180,3631.564,3334.3096499999997,3h 0min
2024-09-26 20:05:33,2024-09-26 20:06:33,2,3003.647,3002.4875,2min
2024-10-09 16:39:33,2024-10-10 03:58:33,680,3617.188,3418.525876470588,11h 20min
2024-10-14 13:39:33,2024-10-14 16:16:33,158,3382.763,3204.0691202531643,2h 38min
2024-10-21 08:35:33,2024-10-21 11:41:33,187,3450.47,3225.688935828877,3h 7min
2024-10-21 21:51:33,2024-10-22 01:04:33,194,3513.308,3267.587582474227,3h 14min
2024-11-19 03:46:33,2024-11-19 16:49:33,784,3638.984,3376.1605892857147,13h 4min
2024-11-19 16:51:33,2024-11-19 16:51:33,1,3003.647,3003.647,1min
2024-11-20 20:09:33,2024-11-21 04:27:33,499,3634.115,3377.2723106212425,8h 19min
2024-11-24 01:07:33,2024-11-24 02:11:33,65,3066.485,3040.722030769231,1h 5min
2024-11-25 12:19:33,2024-11-25 16:06:33,228,3254.768,3175.8069692982453,3h 48min
2024-12-05 23:48:33,2024-12-06 02:26:33,159,3636.434,3334.955440251573,2h 39min
2024-12-07 19:05:33,2024-12-07 22:59:33,235,3266.825,3165.6781829787233,3h 55min
2024-12-07 23:01:33,2024-12-07 23:05:33,5,3010.835,3005.5484,5min
2024-12-07 23:07:33,2024-12-07 23:08:33,2,3005.966,3003.647,2min
2024-12-07 23:15:33,2024-12-07 23:16:33,2,3001.328,3001.328,2min
2024-12-08 03:44:33,2024-12-08 05:41:33,118,3158.308,3086.7937711864406,1h 58min
2024-12-08 05:43:33,2024-12-08 05:44:33,2,3003.647,3003.647,2min
2024-12-19 09:50:33,2024-12-19 12:34:33,165,3237.841,3142.208381818182,2h 45min
